type,image_path,label_path,volume,slice,id
train,BrainTumorDetectionYolov9/BrainTumorDetectionYolov9/train/images/volume_46_slice_61_jpg.rf.391e59308aa61a1c6184a0f2d41b62f2.jpg,BrainTumorDetectionYolov9/BrainTumorDetectionYolov9/train/labels/volume_46_slice_61_jpg.rf.391e59308aa61a1c6184a0f2d41b62f2.txt,46,61,508ff881e6ee8c6010f040a98e0b6ffa
train,BrainTumorDetectionYolov9/BrainTumorDetectionYolov9/train/images/volume_198_slice_79_jpg.rf.8c7c23a1ab721c83b4025175fcb7a034.jpg,BrainTumorDetectionYolov9/BrainTumorDetectionYolov9/train/labels/volume_198_slice_79_jpg.rf.8c7c23a1ab721c83b4025175fcb7a034.txt,198,79,cfbafb37ece154765249a28b00272560
train,BrainTumorDetectionYolov9/BrainTumorDetectionYolov9/train/images/volume_323_slice_31_jpg.rf.e21e68e7259f11cb7b9c1f5ceabcf503.jpg,BrainTumorDetectionYolov9/BrainTumorDetectionYolov9/train/labels/volume_323_slice_31_jpg.rf.e21e68e7259f11cb7b9c1f5ceabcf503.txt,323,31,5ec689cac88f4ad262d8648b7d94afd4
train,BrainTumorDetectionYolov9/BrainTumorDetectionYolov9/train/images/volume_151_slice_60_jpg.rf.972f02fcc6ef2e356bdfe78ac13a35c5.jpg,BrainTumorDetectionYolov9/BrainTumorDetectionYolov9/train/labels/volume_151_slice_60_jpg.rf.972f02fcc6ef2e356bdfe78ac13a35c5.txt,151,60,d7f202943c6646502c6ef087781629a5
train,BrainTumorDetectionYolov9/BrainTumorDetectionYolov9/train/images/volume_320_slice_105_jpg.rf.ad0d93f902dba9aa847e8928ed820611.jpg,BrainTumorDetectionYolov9/BrainTumorDetectionYolov9/train/labels/volume_320_slice_105_jpg.rf.ad0d93f902dba9aa847e8928ed820611.txt,320,105,764366c3d1640db6cfc0a55e6ee23a55
train,BrainTumorDetectionYolov9/BrainTumorDetectionYolov9/train/images/volume_349_slice_118_jpg.rf.a66ed83ef0aaf9008ff2da2f9f242fec.jpg,BrainTumorDetectionYolov9/BrainTumorDetectionYolov9/train/labels/volume_349_slice_118_jpg.rf.a66ed83ef0aaf9008ff2da2f9f242fec.txt,349,118,dd717af92266e6eb6ed5581b440d8b3b
train,BrainTumorDetectionYolov9/BrainTumorDetectionYolov9/train/images/volume_289_slice_104_jpg.rf.af5d214c87d9474da718cee4b61f5e44.jpg,BrainTumorDetectionYolov9/BrainTumorDetectionYolov9/train/labels/volume_289_slice_104_jpg.rf.af5d214c87d9474da718cee4b61f5e44.txt,289,104,c2568bd4fc867e78017e8672069ede5d
train,BrainTumorDetectionYolov9/BrainTumorDetectionYolov9/train/images/volume_163_slice_92_jpg.rf.d530325df11d42286e19f10b046de9d5.jpg,BrainTumorDetectionYolov9/BrainTumorDetectionYolov9/train/labels/volume_163_slice_92_jpg.rf.d530325df11d42286e19f10b046de9d5.txt,163,92,3ded57f4c63a86255c3459e14c804fad
train,BrainTumorDetectionYolov9/BrainTumorDetectionYolov9/train/images/volume_46_slice_33_jpg.rf.e2caeae2307a8685abe65d945841dc01.jpg,BrainTumorDetectionYolov9/BrainTumorDetectionYolov9/train/labels/volume_46_slice_33_jpg.rf.e2caeae2307a8685abe65d945841dc01.txt,46,33,1bb13acae7b32a42fd7e668343498ace
train,BrainTumorDetectionYolov9/BrainTumorDetectionYolov9/train/images/volume_16_slice_96_jpg.rf.7f75348a6bd47aed875448b43b09d09a.jpg,BrainTumorDetectionYolov9/BrainTumorDetectionYolov9/train/labels/volume_16_slice_96_jpg.rf.7f75348a6bd47aed875448b43b09d09a.txt,16,96,3b1f162292f3ea76cdb0e7c95dfd3106
